gene	Apical progenitors	Astrocytes	CThPN	Cajal Retzius cells	Cycling glial cells	DL CPN	DL_CPN_1	DL_CPN_2	Doublet	Endothelial cells	Ependymocytes	Immature neurons	Intermediate progenitors	Interneurons	Layer 4	Layer 6b	Low quality cells	Microglia	Migrating neurons	NP	Oligodendrocytes	Pericytes	Red blood cells	SCPN	UL CPN	VLMC
Jph4	0.0		1.0			1.0	1.0	1.0	1.0		0.0	1.0	0.0		1.0	1.0				1.0			0.0	1.0	1.0	0.0
Fam101b		0.0				0.0		1.0		1.0		0.0	0.0			1.0	0.0		0.0	0.0			0.0	0.0	0.0	
Atp11b																										
Map3k2																							0.0			
Larp1b		0.0	0.0			0.0					0.0	0.0	0.0	0.0			0.0		0.0	0.0		0.0		0.0		
Fuz											1.0															
Omg	0.0	0.0		0.0	0.0	0.0				0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Gm26721	0.0	0.0			0.0	0.0				0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Trpm3	0.0	0.0			0.0					0.0		0.0	0.0	0.0	1.0		0.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0
Olig2	0.0	1.0	0.0	0.0		0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Cacna1g	0.0	0.0				1.0				0.0	0.0	0.0	0.0		1.0		0.0	0.0	0.0		0.0		0.0	0.0		
Arrdc1																							0.0			0.0
Zfp575							1.0	1.0			0.0							0.0					0.0			
4930570G19Rik	0.0		0.0			0.0				0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
Rassf10	0.0	1.0	0.0	0.0		0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0
